Distance (km),altitude(meters)
0,84.7
0,84.7
0.003,84.7
0.007,84.7
0.013,84.7
0.022,84.8
0.033,84.8
0.046,84.8
0.061,84.8
0.078,84.8
0.097,84.7
0.117,84
0.14,83
0.164,81.9
0.188,81.5
0.215,81.2
0.243,80.7
0.272,80.3
0.303,79.9
0.335,78.3
0.37,77.1
0.406,76.3
0.442,76
0.48,74.2
0.519,72.5
0.558,71.1
0.598,69.5
0.639,67.8
0.681,66.6
0.722,66.1
0.764,63.9
0.807,61.7
0.85,59.1
0.893,56.2
0.936,52
0.98,47.1
1.024,41.7
1.069,37.3
1.115,34.4
1.159,34.6
1.202,35.7
1.245,37.5
1.287,39.2
1.329,39.8
1.37,40.9
1.411,41.8
1.452,42.8
1.493,44
1.534,43.4
1.575,43.8
1.615,44.5
1.656,43.8
1.697,43
1.738,41.1
1.779,39.1
1.819,36.8
1.861,34.8
1.902,33
1.939,30
1.971,26.6
2.001,24
2.027,22.2
2.048,20.8
2.067,19.8
2.084,19.1
2.099,18.1
2.112,16.8
2.124,15.3
2.136,14.1
2.15,14.4
2.164,15
2.181,15.8
2.2,16.7
2.221,17.9
2.243,19.2
2.266,19.6
2.29,20
2.315,19.9
2.341,20
2.369,19.7
2.398,19.8
2.428,20.3
2.458,20.8
2.491,20.1
2.526,19.7
2.56,20.6
2.594,21.7
2.633,22.5
2.672,22.8
2.707,22.8
2.744,23.1
2.763,22.7
2.782,22.1
2.8,22.3
2.819,22.3
2.839,22.2
2.86,24.1
2.88,25.8
2.902,26.3
2.926,26.5
2.95,26.7
2.975,26.8
3.002,26.9
3.03,26.5
3.059,26
3.089,25.8
3.12,26.6
3.151,27.1
3.183,27.8
3.216,28.6
3.25,29.2
3.285,31.3
3.321,32.1
3.357,31
3.394,29.6
3.432,29.3
3.47,29.3
3.509,30.6
3.549,32
3.589,34.9
3.63,36.5
3.67,35.9
3.71,33.8
3.751,32.5
3.791,31.7
3.832,31.5
3.873,31.3
3.914,33.4
3.955,36.4
3.996,39
4.037,39.3
4.077,39
4.117,39
4.156,38.1
4.193,36.5
4.227,34.1
4.259,31.4
4.289,29.3
4.318,27.8
4.346,27
4.375,27.1
4.406,27.7
4.438,29
4.472,30.3
4.507,31.4
4.543,31.3
4.581,30.9
4.619,30.7
4.658,29.6
4.697,28.8
4.737,28.8
4.777,31.7
4.818,34.9
4.859,37.8
4.9,39.1
4.94,40
4.981,40.9
5.022,42.1
5.063,44
5.103,45.1
5.144,46.2
5.184,47.9
5.225,49.3
5.266,50.7
5.307,52.9
5.348,56
5.388,59.5
5.429,61.3
5.469,61.7
5.51,62.5
5.55,64.3
5.59,66.8
5.63,69.3
5.671,67.5
5.712,65
5.753,62.4
5.794,61.8
5.835,62
5.876,62.4
5.917,62.9
5.958,63
5.999,62.9
6.039,62.9
6.08,62.5
6.121,62.2
6.161,62.1
6.201,61.4
6.241,61.1
6.28,60.2
6.32,59.1
6.361,57.9
6.402,57.1
6.442,56.2
6.483,54.9
6.524,52.5
6.566,50.9
6.607,49.9
6.648,48.4
6.69,47.3
6.732,46.3
6.774,46.2
6.816,46.6
6.858,47.9
6.9,48.9
6.942,49
6.983,49.1
7.024,49.7
7.065,49.8
7.106,49
7.147,48.8
7.188,49.5
7.228,48.7
7.269,47
7.31,47.1
7.351,47.5
7.392,47.5
7.433,48.1
7.474,48.7
7.515,49.1
7.556,49.8
7.597,50.4
7.638,50.6
7.679,50.6
7.721,51
7.762,52.5
7.803,54.6
7.844,57.3
7.885,60.2
7.926,61.7
7.966,62.6
8.007,64.2
8.048,66.1
8.088,66.5
8.129,67.7
8.17,69.1
8.21,69.1
8.251,68.4
8.291,68.4
8.331,68
8.372,66.4
8.412,64.1
8.452,61.6
8.492,59.8
8.533,58.3
8.574,57.5
8.615,56
8.657,54.4
8.698,52.2
8.74,50.8
8.782,51.2
8.824,52
8.866,52.4
8.909,52.5
8.951,53.5
8.993,54.2
9.035,54.6
9.076,56.3
9.117,58.1
9.158,59.3
9.2,62.2
9.24,64.4
9.28,65.1
9.32,65.4
9.359,67.3
9.397,67.6
9.434,66.3
9.47,64.9
9.506,64.2
9.541,64.7
9.576,64.1
9.61,63.2
9.645,61.4
9.681,60.3
9.718,60
9.756,61.6
9.795,61.9
9.834,61.5
9.874,61.1
9.914,62.6
9.954,62.9
9.993,61.5
10.033,59.3
10.072,58.1
10.112,57.3
10.152,56.7
10.192,56.2
10.232,55.6
10.272,55.2
10.313,54.6
10.352,53.7
10.393,52.5
10.434,54.4
