Distance(miles);Speed (m/s)
0;0
0;0
0;0
1.11111111068675E-005;0
3.33333333206014E-005;0.89408
6.111111108777E-005;0.89408
9.44444444083709E-005;1.34112
0.0001333333;1.34112
0.0001777778;1.78816
0.0002222222;1.78816
0.0002722222;1.78816
0.0003277778;2.2352
0.0003888889;2.2352
0.0004555556;2.68224
0.0005277778;2.68224
0.0006055556;3.12928
0.0006888889;3.12928
0.0007833333;3.57632
0.0008833333;4.02336
0.0009888889;4.02336
0.0011;4.4704
0.0012166667;4.4704
0.0013444444;4.91744
0.0014777778;5.36448
0.0016166667;5.36448
0.0017666667;5.81152
0.0019222222;6.25856
0.0020833333;6.25856
0.0022555556;6.7056
0.0024333333;7.15264
0.0026166667;7.15264
0.0028111111;7.59968
0.0030111111;8.04672
0.0032166667;8.04672
0.0034333333;8.49376
0.0036611111;8.9408
0.0038944444;9.38784
0.0041333333;9.38784
0.0043833333;9.83488
0.0046444444;10.28192
0.0049111111;10.72896
0.0051833333;10.72896
0.0054666667;11.176
0.0057611111;11.62304
0.0060666667;12.07008
0.0063777778;12.51712
0.0066944444;12.51712
0.0070222222;12.96416
0.0073611111;13.4112
0.0077055556;13.85824
0.0080555556;13.85824
0.0084166667;14.30528
0.0087888889;14.75232
0.0091666667;15.19936
0.00955;15.19936
0.0099388889;15.6464
0.0103277778;15.6464
0.0107222222;15.6464
0.0111277778;16.09344
0.0115388889;16.54048
0.0119555556;16.54048
0.0123833333;16.98752
0.0128222222;17.43456
0.0132666667;17.8816
0.0137166667;17.8816
0.0141722222;18.32864
0.0146333333;18.32864
0.0151055555;18.77568
0.0155888889;19.22272
0.0160777778;19.66976
0.0165666667;19.66976
0.0170611111;19.66976
0.0175611111;20.1168
0.0180666667;20.1168
0.0185833333;20.56384
0.0191111111;21.01088
0.0196444444;21.45792
0.0201833333;21.45792
0.0207333333;21.90496
0.0212944444;22.352
0.0218611111;22.79904
0.0224333333;22.79904
0.0230166667;23.24608
0.0236111111;23.69312
0.0242111111;24.14016
0.0248111111;24.14016
0.0254111111;24.14016
0.0260166667;24.14016
0.0266277778;24.5872
0.02725;24.5872
0.0278833333;25.48128
0.0285222222;25.48128
0.0291722222;25.92832
0.0298333333;26.37536
0.0305055555;26.8224
0.0311888889;27.26944
0.0318777778;27.71648
0.0325722222;27.71648
0.0332777778;28.16352
0.0339888889;28.61056
0.0347055555;28.61056
0.0354333333;29.0576
0.0361666667;29.50464
0.0369055555;29.50464
0.0376555555;29.95168
0.0384111111;30.39872
0.0391722222;30.39872
0.0399444444;30.84576
0.0407222222;31.2928
0.0415055555;31.2928
0.0423;31.73984
0.0431;32.18688
0.0439055555;32.18688
